metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
return_std_1m_5m,8,Q8,0.0002566985,0.0002778814,0.58,269,0.858736
return_std_1m_5m,9,Q9,0.0002779972,0.0002978841,0.52,269,0.959108
return_std_1m_5m,9,Q9,0.0002779972,0.0002978841,0.53,269,0.929368
return_std_1m_5m,9,Q9,0.0002779972,0.0002978841,0.54,269,0.899628
return_std_1m_5m,9,Q9,0.0002779972,0.0002978841,0.55,269,0.869888
return_std_1m_5m,9,Q9,0.0002779972,0.0002978841,0.56,269,0.851301
return_std_1m_5m,9,Q9,0.0002779972,0.0002978841,0.57,269,0.847584
return_std_1m_5m,9,Q9,0.0002779972,0.0002978841,0.58,269,0.832714
return_std_1m_5m,10,Q10,0.0002979168,0.0003180811,0.52,268,0.947761
return_std_1m_5m,10,Q10,0.0002979168,0.0003180811,0.53,268,0.936567
return_std_1m_5m,10,Q10,0.0002979168,0.0003180811,0.54,268,0.925373
return_std_1m_5m,10,Q10,0.0002979168,0.0003180811,0.55,268,0.906716
return_std_1m_5m,10,Q10,0.0002979168,0.0003180811,0.56,268,0.888060
return_std_1m_5m,10,Q10,0.0002979168,0.0003180811,0.57,268,0.873134
return_std_1m_5m,10,Q10,0.0002979168,0.0003180811,0.58,268,0.861940
return_std_1m_5m,11,Q11,0.0003181216,0.0003392350,0.52,269,0.933086
return_std_1m_5m,11,Q11,0.0003181216,0.0003392350,0.53,269,0.914498
return_std_1m_5m,11,Q11,0.0003181216,0.0003392350,0.54,269,0.881041
return_std_1m_5m,11,Q11,0.0003181216,0.0003392350,0.55,269,0.869888
return_std_1m_5m,11,Q11,0.0003181216,0.0003392350,0.56,269,0.836431
return_std_1m_5m,11,Q11,0.0003181216,0.0003392350,0.57,269,0.825279
return_std_1m_5m,11,Q11,0.0003181216,0.0003392350,0.58,269,0.817844
return_std_1m_5m,12,Q12,0.0003393482,0.0003585981,0.52,269,0.947955
return_std_1m_5m,12,Q12,0.0003393482,0.0003585981,0.53,269,0.929368
return_std_1m_5m,12,Q12,0.0003393482,0.0003585981,0.54,269,0.914498
return_std_1m_5m,12,Q12,0.0003393482,0.0003585981,0.55,269,0.881041
return_std_1m_5m,12,Q12,0.0003393482,0.0003585981,0.56,269,0.866171
return_std_1m_5m,12,Q12,0.0003393482,0.0003585981,0.57,269,0.851301
return_std_1m_5m,12,Q12,0.0003393482,0.0003585981,0.58,269,0.843866
return_std_1m_5m,13,Q13,0.0003585982,0.0003816740,0.52,268,0.951493
return_std_1m_5m,13,Q13,0.0003585982,0.0003816740,0.53,268,0.936567
return_std_1m_5m,13,Q13,0.0003585982,0.0003816740,0.54,268,0.914179
return_std_1m_5m,13,Q13,0.0003585982,0.0003816740,0.55,268,0.899254
return_std_1m_5m,13,Q13,0.0003585982,0.0003816740,0.56,268,0.873134
return_std_1m_5m,13,Q13,0.0003585982,0.0003816740,0.57,268,0.861940
return_std_1m_5m,13,Q13,0.0003585982,0.0003816740,0.58,268,0.839552
return_std_1m_5m,14,Q14,0.0003817139,0.0004048987,0.52,269,0.929368
return_std_1m_5m,14,Q14,0.0003817139,0.0004048987,0.53,269,0.914498
return_std_1m_5m,14,Q14,0.0003817139,0.0004048987,0.54,269,0.895911
return_std_1m_5m,14,Q14,0.0003817139,0.0004048987,0.55,269,0.881041
return_std_1m_5m,14,Q14,0.0003817139,0.0004048987,0.56,269,0.858736
return_std_1m_5m,14,Q14,0.0003817139,0.0004048987,0.57,269,0.851301
return_std_1m_5m,14,Q14,0.0003817139,0.0004048987,0.58,269,0.836431
return_std_1m_5m,15,Q15,0.0004049325,0.0004274550,0.52,269,0.955390
return_std_1m_5m,15,Q15,0.0004049325,0.0004274550,0.53,269,0.936803
return_std_1m_5m,15,Q15,0.0004049325,0.0004274550,0.54,269,0.907063
return_std_1m_5m,15,Q15,0.0004049325,0.0004274550,0.55,269,0.888476
return_std_1m_5m,15,Q15,0.0004049325,0.0004274550,0.56,269,0.855019
return_std_1m_5m,15,Q15,0.0004049325,0.0004274550,0.57,269,0.836431
return_std_1m_5m,15,Q15,0.0004049325,0.0004274550,0.58,269,0.817844
return_std_1m_5m,16,Q16,0.0004274759,0.0004527995,0.52,268,0.940299
return_std_1m_5m,16,Q16,0.0004274759,0.0004527995,0.53,268,0.921642
return_std_1m_5m,16,Q16,0.0004274759,0.0004527995,0.54,268,0.910448
return_std_1m_5m,16,Q16,0.0004274759,0.0004527995,0.55,268,0.895522
return_std_1m_5m,16,Q16,0.0004274759,0.0004527995,0.56,268,0.884328
return_std_1m_5m,16,Q16,0.0004274759,0.0004527995,0.57,268,0.873134
return_std_1m_5m,16,Q16,0.0004274759,0.0004527995,0.58,268,0.869403
return_std_1m_5m,17,Q17,0.0004529757,0.0004810433,0.52,269,0.973978
return_std_1m_5m,17,Q17,0.0004529757,0.0004810433,0.53,269,0.947955
return_std_1m_5m,17,Q17,0.0004529757,0.0004810433,0.54,269,0.940520
return_std_1m_5m,17,Q17,0.0004529757,0.0004810433,0.55,269,0.921933
return_std_1m_5m,17,Q17,0.0004529757,0.0004810433,0.56,269,0.903346
return_std_1m_5m,17,Q17,0.0004529757,0.0004810433,0.57,269,0.888476
return_std_1m_5m,17,Q17,0.0004529757,0.0004810433,0.58,269,0.866171
